Package_Id,From_City,Destination,Destination_Type,Trip_Duration_Days,Activities_Count,Accommodation,Transport_Mode,Package_Type,Budget,Season
PKG-00001,bengaluru,goa,Beach,3,2,Hotel,Train,Standard,17820,Winter
PKG-00002,bengaluru,goa,Beach,5,3,Camping,Car,Luxury,29600,Winter
PKG-00003,bengaluru,goa,Beach,10,2,Resort,Flight,Standard,57600,Winter
PKG-00004,bengaluru,goa,Beach,2,2,Hotel,Bus,Standard,11520,Winter
PKG-00005,bengaluru,goa,Beach,10,6,Hotel,Car,Luxury,76800,Winter
PKG-00006,bengaluru,goa,Beach,5,7,Hotel,Flight,Standard,50880,Winter
PKG-00007,bengaluru,goa,Beach,9,6,Hotel,Train,Standard,40260,Winter
PKG-00008,bengaluru,goa,Beach,4,7,Resort,Flight,Premium,84000,Winter
PKG-00009,bengaluru,goa,Beach,6,3,Resort,Bus,Premium,33600,Winter
PKG-00010,bengaluru,goa,Beach,3,2,Resort,Flight,Standard,32400,Winter
PKG-00011,bengaluru,goa,City,7,8,Hotel,Train,Luxury,83160,Winter
PKG-00012,bengaluru,goa,City,6,8,Camping,Car,Luxury,48000,Winter
PKG-00013,bengaluru,goa,City,9,6,Resort,Car,Premium,64049,Winter
PKG-00014,bengaluru,goa,City,3,6,Hotel,Train,Luxury,56760,Winter
PKG-00015,bengaluru,goa,City,7,6,Hotel,Bus,Luxury,52800,Winter
PKG-00016,bengaluru,goa,City,3,2,Hotel,Bus,Premium,18144,Winter
PKG-00017,bengaluru,goa,City,3,8,Hotel,Bus,Standard,24480,Winter
PKG-00018,bengaluru,goa,City,8,4,Hotel,Flight,Luxury,96000,Winter
PKG-00019,bengaluru,goa,City,7,3,Hotel,Train,Premium,39732,Winter
PKG-00020,bengaluru,goa,City,5,7,Hotel,Train,Luxury,69960,Winter
PKG-00021,bengaluru,goa,Cultural,3,6,Resort,Bus,Luxury,51600,Winter
PKG-00022,bengaluru,goa,Cultural,5,3,Hotel,Flight,Premium,49728,Winter
PKG-00023,bengaluru,goa,Cultural,6,7,Hotel,Bus,Luxury,53760,Winter
PKG-00024,bengaluru,goa,Cultural,7,8,Hotel,Car,Standard,37800,Winter
PKG-00025,bengaluru,goa,Cultural,2,8,Hotel,Train,Premium,44352,Winter
PKG-00026,bengaluru,goa,Cultural,6,2,Resort,Bus,Luxury,43200,Winter
PKG-00027,bengaluru,goa,Cultural,7,3,Hotel,Flight,Premium,57791,Winter
PKG-00028,bengaluru,goa,Cultural,9,3,Hotel,Train,Standard,32340,Winter
PKG-00029,bengaluru,goa,Cultural,5,7,Hotel,Train,Luxury,69960,Winter
PKG-00030,bengaluru,goa,Cultural,8,6,Hotel,Flight,Premium,77952,Winter
PKG-00031,bengaluru,goa,Coastal,5,3,Resort,Flight,Standard,44400,Monsoon
PKG-00032,bengaluru,goa,Coastal,2,8,Hotel,Car,Standard,28800,Monsoon
PKG-00033,bengaluru,goa,Coastal,4,8,Hotel,Flight,Luxury,103680,Monsoon
PKG-00034,bengaluru,goa,Coastal,3,5,Camping,Flight,Luxury,49920,Monsoon
PKG-00035,bengaluru,goa,Coastal,9,6,Camping,Train,Luxury,53680,Monsoon
PKG-00036,bengaluru,goa,Coastal,2,7,Resort,Car,Luxury,66000,Monsoon
PKG-00037,bengaluru,goa,Coastal,10,8,Hotel,Train,Luxury,95040,Monsoon
PKG-00038,bengaluru,goa,Coastal,7,2,Hotel,Train,Premium,36036,Monsoon
PKG-00039,bengaluru,goa,Coastal,4,5,Resort,Car,Luxury,63000,Monsoon
PKG-00040,bengaluru,goa,Coastal,6,6,Hotel,Bus,Luxury,49920,Monsoon
PKG-00041,bengaluru,goa,Adventure,3,8,Hotel,Train,Luxury,67320,Summer
PKG-00042,bengaluru,goa,Adventure,10,6,Hotel,Bus,Standard,30720,Summer
PKG-00043,bengaluru,goa,Adventure,7,8,Hotel,Bus,Luxury,60480,Summer
PKG-00044,bengaluru,goa,Adventure,10,2,Camping,Train,Premium,29567,Summer
PKG-00045,bengaluru,goa,Adventure,2,2,Hotel,Train,Premium,22176,Summer
PKG-00046,bengaluru,goa,Adventure,5,2,Resort,Bus,Luxury,39600,Summer
PKG-00047,bengaluru,goa,Adventure,3,2,Hotel,Flight,Standard,25920,Summer
PKG-00048,bengaluru,goa,Adventure,10,8,Hotel,Bus,Standard,34560,Summer
PKG-00049,bengaluru,goa,Adventure,9,6,Hotel,Bus,Premium,40992,Summer
PKG-00050,bengaluru,goa,Adventure,10,8,Hotel,Flight,Standard,69120,Summer
PKG-00051,bengaluru,goa,Historical,10,8,Camping,Bus,Luxury,46080,Winter
PKG-00052,bengaluru,goa,Historical,6,5,Resort,Train,Premium,55440,Winter
PKG-00053,bengaluru,goa,Historical,10,5,Camping,Car,Standard,24000,Winter
PKG-00054,bengaluru,goa,Historical,5,2,Resort,Train,Standard,27225,Winter
PKG-00055,bengaluru,goa,Historical,10,3,Hotel,Bus,Standard,24960,Winter
PKG-00056,bengaluru,goa,Historical,3,7,Camping,Car,Standard,18800,Winter
PKG-00057,bengaluru,goa,Historical,3,2,Hotel,Train,Standard,17820,Winter
PKG-00058,bengaluru,goa,Historical,10,3,Hotel,Train,Luxury,68640,Winter
PKG-00059,bengaluru,goa,Historical,9,3,Hotel,Bus,Luxury,47040,Winter
PKG-00060,bengaluru,goa,Historical,9,3,Hotel,Flight,Premium,65856,Winter
PKG-00061,bengaluru,mumbai,City,5,2,Hotel,Car,Luxury,39600,Winter
PKG-00062,bengaluru,mumbai,City,8,4,Hotel,Flight,Premium,67200,Winter
PKG-00063,bengaluru,mumbai,City,9,8,Resort,Car,Luxury,103500,Winter
PKG-00064,bengaluru,mumbai,City,3,2,Hotel,Flight,Luxury,51840,Winter
PKG-00065,bengaluru,mumbai,City,7,8,Hotel,Car,Standard,37800,Winter
PKG-00066,bengaluru,mumbai,City,5,3,Hotel,Flight,Standard,35520,Winter
PKG-00067,bengaluru,mumbai,City,8,3,Hotel,Train,Premium,42504,Winter
PKG-00068,bengaluru,mumbai,City,5,8,Resort,Car,Premium,59849,Winter
PKG-00069,bengaluru,mumbai,City,10,2,Hotel,Car,Luxury,57600,Winter
PKG-00070,bengaluru,mumbai,City,10,8,Camping,Car,Standard,28800,Winter
PKG-00071,bengaluru,mumbai,Coastal,5,3,Resort,Flight,Premium,62159,Monsoon
PKG-00072,bengaluru,mumbai,Coastal,9,3,Hotel,Flight,Standard,47040,Monsoon
PKG-00073,bengaluru,mumbai,Coastal,4,5,Hotel,Car,Premium,35280,Monsoon
PKG-00074,bengaluru,mumbai,Coastal,6,8,Resort,Flight,Premium,100800,Monsoon
PKG-00075,bengaluru,mumbai,Coastal,8,7,Resort,Flight,Standard,74400,Monsoon
PKG-00076,bengaluru,mumbai,Coastal,5,4,Resort,Bus,Standard,24600,Monsoon
PKG-00077,bengaluru,mumbai,Coastal,10,2,Resort,Train,Standard,39600,Monsoon
PKG-00078,bengaluru,mumbai,Coastal,2,6,Hotel,Flight,Luxury,76800,Monsoon
PKG-00079,bengaluru,mumbai,Coastal,10,3,Hotel,Car,Luxury,62400,Monsoon
PKG-00080,bengaluru,mumbai,Coastal,3,8,Hotel,Bus,Standard,24480,Monsoon
PKG-00081,bengaluru,mumbai,Cultural,3,7,Resort,Bus,Premium,39480,Winter
PKG-00082,bengaluru,mumbai,Cultural,3,6,Resort,Bus,Luxury,51600,Winter
PKG-00083,bengaluru,mumbai,Cultural,2,6,Hotel,Car,Premium,33600,Winter
PKG-00084,bengaluru,mumbai,Cultural,10,4,Hotel,Train,Standard,36960,Winter
PKG-00085,bengaluru,mumbai,Cultural,7,3,Hotel,Train,Premium,39732,Winter
PKG-00086,bengaluru,mumbai,Cultural,4,7,Hotel,Train,Premium,46200,Winter
PKG-00087,bengaluru,mumbai,Cultural,7,8,Resort,Car,Standard,47250,Winter
PKG-00088,bengaluru,mumbai,Cultural,9,6,Resort,Car,Standard,45750,Winter
PKG-00089,bengaluru,mumbai,Cultural,10,3,Resort,Train,Standard,42900,Winter
PKG-00090,bengaluru,mumbai,Cultural,7,2,Hotel,Bus,Premium,26208,Winter
PKG-00091,bengaluru,mumbai,Historical,6,3,Hotel,Flight,Luxury,76800,Winter
PKG-00092,bengaluru,mumbai,Historical,6,6,Resort,Car,Luxury,78000,Winter
PKG-00093,bengaluru,mumbai,Historical,10,4,Resort,Car,Standard,42000,Winter
PKG-00094,bengaluru,mumbai,Historical,6,2,Hotel,Car,Luxury,43200,Winter
PKG-00095,bengaluru,mumbai,Historical,10,3,Resort,Train,Premium,60059,Winter
PKG-00096,bengaluru,mumbai,Historical,5,7,Hotel,Train,Standard,34980,Winter
PKG-00097,bengaluru,mumbai,Historical,6,6,Hotel,Flight,Premium,69888,Winter
PKG-00098,bengaluru,mumbai,Historical,2,2,Hotel,Flight,Premium,32255,Winter
PKG-00099,bengaluru,mumbai,Historical,2,2,Hotel,Train,Standard,15840,Winter
PKG-00100,bengaluru,mumbai,Adventure,8,6,Hotel,Car,Standard,34800,Summer
PKG-00101,bengaluru,mumbai,Adventure,3,7,Resort,Bus,Luxury,56400,Summer
